test_set_index,original_csv_index,prompt,url,rater,human_coherence,human_signaling,human_label_accuracy,human_labeling,human_comment,claude-sonnet-4-6_coherence,claude-sonnet-4-6_signaling,claude-sonnet-4-6_label_accuracy,claude-sonnet-4-6_labeling,gpt-5.4_coherence,gpt-5.4_signaling,gpt-5.4_label_accuracy,gpt-5.4_labeling
158,4228,"parallelogram on grid paper, show cutting and rearranging into rectangle",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-cOgBYYyR6zLjcjOntKIkqFB2tVEfRe.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,No,Yes,N/A,No
160,4885,"rectangular prism made of unit cubes, 3 by 3 by 3",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-C5UqNrYPnRRzurbUCNOjKEab1CkOUP.svg,B,Yes,No,N/A,No,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
162,2626,"parallel lines cut by transversal, angles numbered 1-8",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-YGi8unvwud3PWZKwHXxMJjyFzdvuJ8.svg,B,Yes,Yes,No,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
163,871,"base 10 blocks, 13",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QdnY5pN164f9OD5Eg99tAzVFo24VMM.svg,B,Yes,No,N/A,N/A,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
166,3870,"step-shaped figure made of 2 rectangular prisms stacked vertically, no labels or numbers",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pJhOVQOb2mZbX7TxxxQjpDtqxm6TJE.svg,B,Yes,No,N/A,No,,Yes,No,N/A,N/A,Yes,N/A,N/A,N/A
168,717,"coordinate plane, rectangle with vertices at (-3,-1), (-3,-4), (2,-4), (2,-1), reflect over y-axis",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-N7Cu3G64gtbO2BCxJU9yQpgsiHykb1.svg,B,Yes,Yes,Yes,Yes,,No,Yes,No,No,No,Yes,No,No
170,1035,"array model, 12 x 2, rectangular array",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ERTBRP8zEXlxK1lW6Wb3666MkQi8xn.svg,B,Yes,Yes,N/A,No,,No,No,N/A,No,No,Yes,N/A,No
171,499,"base 10 blocks, 347",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-t2vJ5EdFui6iEaeVvAemqwoQGmZ8B4.svg,B,Yes,No,No,No,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
172,1759,"rectangular prism base only, 2 by 5 units, area = 10 square units",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-OyDFx78lwPqq7hjnYwT6YEVRpSHEwz.svg,B,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes
174,1581,"area model, 3 1/2 x 2, show unit squares with grid lines",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-2V5YyvwDBfsX4g3UDOpWK9eXw4ggUo.svg,B,Yes,Yes,No,No,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
179,4965,"visual comparison showing scale drawing vs actual object, small rectangle labeled '1 cm' next to larger rectangle labeled '2 m'",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-FyIC4Mz2fz0GqMA6HOeBNB5w1PNu6V.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
181,4745,"number line, blank with tick marks from -10 to 10",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-fjZ1gNJVsn3ZSnm1HxuJbY3LPH7uDR.svg,B,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,Yes,No,N/A,Yes,No
182,4294,"triangle, base 6 units, height 4 units, on grid",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-N663AQlMZHSJggSzSYIud2ieob5LmD.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
186,4128,"parallelogram on grid, 5 by 3 units",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-aVJlj0FI4yOX8aYZ7TNqRZzyJEUOgd.svg,B,Yes,Yes,No,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,No
187,1649,"three lines meeting at one point, creating six angles around the intersection",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-oKfGBnY4c47H0H54Z1Tu9Fsm0vdrjg.svg,B,Yes,N/A,No,Yes,,Yes,N/A,No,No,No,No,No,No
188,4256,"box plot with whiskers, showing Q1=3, median=5, Q3=7, min=1, max=9",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-VS7LF5SxKxiU6KsfIupMY62A8uWuxx.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
191,909,"rectangle, 24 by 36 grid, divided into 6x6 squares",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-34m3rExNe4C4aagFEfv70YugtdaxKt.svg,B,Yes,No,No,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
192,339,"rectangular prism made of unit cubes, 4 cubes long by 2 cubes wide by 3 cubes tall, all 24 cubes visible",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-gUlsvcmvZ8PHZfYlm8ZaojEzId3wtp.svg,B,Yes,N/A,N/A,No,,Yes,N/A,N/A,No,Yes,N/A,N/A,N/A
194,4482,"rectangular prism figure made of 2 prisms, 5 ft × 3 ft × 2 ft bottom prism, 1 ft × 3 ft × 3 ft top prism",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-2eAOWKnk5za4coej7zPbhQOW2mCKPo.svg,B,Yes,N/A,Yes,Yes,,Yes,No,No,No,Yes,No,No,No
197,1970,"triangular prism net, labeled with dimensions showing efficient grouping",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-CKX1kc1qTwwNH4bfIXoew4zodaTVti.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,No,No
198,3824,"dot pattern card, 2 dots arranged vertically",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-oTXDeC8fG8zejTexpcFXmoniLrakNL.svg,B,Yes,No,N/A,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
199,4610,hexagonal prism 3d shape,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HsrzZxlQxUDM77R3AXMcY03FXzfWzs.svg,B,Yes,N/A,N/A,N/A,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
200,46,"coordinate plane, rectangle with top edge horizontal, then same rectangle with top edge now vertical showing rotation",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-L9FI2kOOuVAWdadDU5bPd0lL86RLXq.svg,B,Yes,No,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
202,2686,"coordinate plane, line through origin and point (1,0.8), unlabeled axes",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-nbSEz07WawJjri9iVzkAeSHa3PwWtO.svg,B,Yes,No,No,No,,Yes,N/A,N/A,No,Yes,N/A,N/A,No
203,4310,"growing pattern, step 1 has 6 squares in L-shape, step 2 has 10 squares in larger L-shape, step 3 has 14 squares",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-OZOkWQ0xAULQ81VSPvStW3xiQeuEeg.svg,B,Yes,No,Yes,Yes,,No,No,No,No,No,N/A,Yes,No
205,2602,"area model, 3 x 10",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-KM6hebkmLvi0oJ17ZmCdc3b9wfPrdJ.svg,B,Yes,N/A,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
206,1877,"histogram, hours of sleep for college students, 4-10 hours range, more spread out",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-b7b2HhP3XSSADLZSLRri3GQJNkiEGw.svg,B,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
208,3908,coordinate plane showing another polynomial with different degree for comparison,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DtGBKkELhtrBt07RKVq82XxpbA31cF.svg,B,Yes,No,Yes,Yes,,Yes,Yes,No,No,No,Yes,No,No
209,1974,"dot plot, data points at 71, 71, 72, 72, 72, 73, 73, 73, 74, 74, tightly clustered around 72-73, title Basketball Player Heights Set 3A",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-RnOkFgiG3pnG0hjQkPik5YppNWFNPd.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
210,3260,"number line, -8 to 8, clean horizontal line",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-AA3lbFv5RPofPV7fLZfyvUatpn27Ki.svg,B,No,N/A,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
213,3222,"parallelogram with labeled properties: opposite sides parallel, opposite sides congruent, opposite angles congruent, consecutive angles supplementary",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-S8AhvRMFc50lUgEGLOvA8FB3kv6RTX.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,No,Yes,No,No
217,606,small 3D rectangular prism,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QmBiqqAddCejKhwMdwsrgEsrRbDvEj.svg,B,Yes,N/A,N/A,No,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
219,1487,"fraction bars, 2/4 shaded",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Hm3tj7fHHDYMwnx640mzvDGhvuAXHu.svg,B,Yes,Yes,No,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
222,3533,"base 10 blocks, 10 - 1",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-y76yoNNlJdY7oz2txjdb72aNMC3nMy.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
223,1449,"table showing time and distance for walking, 1 hour 3 miles, 2 hours 6 miles, 4 hours 12 miles",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HFB6tc18yIbCe6wIaUSUXahpNW5erJ.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
224,2234,"shake and spill activity, two-color counters scattered on table, some red some yellow, kindergarten math center",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-rNtRqsSS1S78DV01KpdvmZInQehlxo.svg,B,Yes,No,N/A,Yes,,Yes,Yes,N/A,No,Yes,N/A,N/A,N/A
225,4354,"rectangle with right triangle cut out from corner, rectangle 8x6, triangle legs 3 and 4",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HEQGRKayS8jB3z6LDdE5kWKyuXCBLW.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
226,1288,"net with 5 rectangles in cross pattern, two pentagons attached to opposite rectangles",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SAMpnDrsZoG5hMDsEKvhNrGzIfIKdv.svg,B,Yes,No,N/A,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
229,1097,"two rectangles showing scale factor, original rectangle 2x3, scaled copy rectangle 4x6",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-jv4wJOPLoLiSruHjIHURd10UJ6epuM.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
230,2289,"Six figures labeled A, B, C, D, E, F. A is an arrow shape. B is a rectangle with rounded corners. C is a star. D is an incomplete triangle with one corner not connected. E is a heart shape. F is a rectangular prism (cube).",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SttbQXknGXUhnMweqtO0Mm5bX31wdE.svg,B,No,No,Yes,Yes,,No,No,Yes,Yes,Yes,N/A,Yes,Yes
232,132,"triangle with sides 4, 5, 6 units next to larger triangle with sides 8, 10, 12 units",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-sfTeaDEpymGcZ0sf8WgOIRp0sVEsIL.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
233,2843,"rectangular prism rotated on its side, 2 vertical layers side by side, each layer has 6 unit cubes arranged in 2x3 pattern",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-xrtuhMOe5FlT0tyPsIWIEEFLqiD257.svg,B,Yes,N/A,N/A,N/A,,Yes,No,N/A,No,Yes,No,N/A,No
237,1819,"fraction circles, 2/3 shaded",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-x1GPw9MShzG5x7T7puTBSY2VqQ2AqA.svg,B,Yes,No,N/A,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
238,993,"triangle with angles 45 degrees and 70 degrees, third angle unknown",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-a1sBRgc1HdlKoLuFDJWp82EiOksFY1.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
241,3096,calendar grid showing one week,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-CHIsXBvb9SDOLbUlo25NFH7b39uSNi.svg,B,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
243,1986,"dot plot, data points at 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, evenly distributed, title Daily Temperatures Set 2C",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pQzWcDz34slXmOcGS0UFgS6EE8amrI.svg,B,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,Yes,No,N/A,Yes,Yes
244,4693,pentagonal pyramid with its net showing 1 pentagonal base and 5 triangular faces,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-uRxxifGrnP4G28Xe2GYDdvUBRZokAS.svg,B,Yes,Yes,Yes,Yes,,No,No,Yes,No,No,Yes,Yes,No
245,3306,T-shaped figure made of two rectangular prisms,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-JpHvHpRDiP4UzM7oblGBJwsYbkWeUk.svg,B,Yes,No,N/A,N/A,,Yes,No,N/A,No,Yes,No,N/A,N/A
246,3318,"rectangular prism figure, 5 x 3 x 4",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-P03PRN3D0q0gncaf306pJie6szanL0.svg,B,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
247,2522,"regular hexagon with vertices labeled A, B, C, D, E, F clockwise starting from top",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NHmdMN5bkowVYRZV4h7SCmiEtFjB0Q.svg,B,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
248,2956,"triangle A with base 5 and height 6, showing perpendicular height line",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-tATfMHhDlUem8759YlrfzCLjGbO1vn.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,Yes,Yes,No
249,3828,"dot plot showing uniform distribution, equal height bars from 1 to 5",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-44b3NIQiqMS8JxYsn4R4xEWEtawDwk.svg,B,Yes,N/A,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
251,3772,card with 4 flowers in diamond arrangement,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-U3lLJowbESHI4ieKzg6c7BPr83ZONp.svg,B,Yes,No,N/A,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
253,244,null,https://coteach-oo4y4rjcb-teaching-lab.vercel.app/api/v1/visual/vis_MyIFFqvp,B,Yes,No,N/A,N/A,,No,No,N/A,No,No,No,N/A,No
254,1789,"number line, 0 to 1, marked at 1/2, point at 5/8",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-oSSQEzUlS5Tyom5YOIb2S53YUCCHBG.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
255,3414,"staircase pattern, level 4 showing 15 blocks total in ascending stair formation",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Ty96NmushIL5y96ZjIOx9Ro2nXDPg4.svg,B,Yes,N/A,N/A,No,,No,No,N/A,No,No,No,N/A,No
257,3814,"dot pattern card, 4 dots in rectangular arrangement 2x2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-EakOS7LUCXLYq2e11mWpoVAJQRSbEX.svg,B,Yes,No,N/A,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
260,1952,"examples of polygons: triangle, quadrilateral, pentagon, hexagon, octagon labeled with number of sides",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-8xZUORosjptYxBTo0cOZddZQ9WayxV.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,No,No,No,No
261,4114,"coordinate plane, -6 to 6 on both axes, grid lines, no origin symbol",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-tNc0k9FuqJLB7gPWin0KGV1BssbCWI.svg,B,No,No,Yes,No,,No,N/A,No,No,No,N/A,Yes,Yes
265,66,"coordinate plane, triangle ABC at A(1,2), B(4,2), C(2,5), show original and reflection over y-axis",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-lr5VjZgHRBi1NGMyuYyTggGq6fAdzI.svg,B,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
266,3966,"dot plot, bimodal distribution, two peaks at 4 and 9, values from 2 to 12",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-VXGfhKimPLbRGH8PYeSc58qHUH7pKE.svg,B,No,No,Yes,No,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
269,4440,"rectangular prism figure made of 2 prisms, no labels or numbers",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ZP4Fn4pTzpnO9As34y9t8VJeEnUR9Y.svg,B,Yes,No,N/A,No,,Yes,No,N/A,N/A,Yes,No,N/A,N/A
270,4765,"two identical right triangles side by side - one labeled 'Original' and one labeled 'After Transformation' with measurements 3, 4, 5 marked on sides",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-y1sIf5q8wn7MGY3tUgOG6iZ8iYjHQc.svg,B,No,No,Yes,Yes,,Yes,No,Yes,No,Yes,No,Yes,Yes
274,509,"cube L-shape, 2x2 square with 3 cubes extending in a row",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-RfqYRXpYKUKpfWFKlK2pDSSAJAc8tX.svg,B,Yes,No,N/A,N/A,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
275,4388,ruler with measurements showing scale conversion,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Du103kZy9unqJoTuLZj0jgi24lnREN.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
277,2758,"base 10 blocks, 16 + 4 = 20",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Y8UaJekk7NyMtpX8kAoI23mRczUy8A.svg,B,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
278,2062,"dot plot, data points at 45, 52, 58, 63, 68, 72, 78, 83, 89, 95, very spread out, title Daily Temperatures Set B",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-CDkMPkEeZLod3UT8G77ZRdunzDsP3d.svg,B,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
279,4522,rectangle 5 by 2 units on grid,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6vlBysMOBW19FASqlcJNnElu79lFpJ.svg,B,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
280,581,small pentagonal pyramid net,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-b2Wbhgg6EvBxXuhUUzbAODGJMPc9ar.svg,B,Yes,N/A,N/A,No,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
283,4364,"triangle with vertices X, Y, Z and angles in ratio 2:3:4",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-4D2DE6gj8em157itRxQItjr5xeRV5c.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
284,3170,parallel lines with transversal showing alternate interior angles highlighted,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-cQ94WSCb0RosqZxv9a7JHmn8bj35Pt.svg,B,No,No,No,No,,Yes,Yes,Yes,Yes,No,Yes,No,No
287,2398,proportion setup chart for scale problems with cross multiplication,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-qup7Ym3CB1CIhu79qqyQW7q8QxffrF.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
288,3274,"triangle showing base = 6 units, height = 4 units",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-J2k7QDqj3xdOJnB9CY8Kw73UeEatKg.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
289,323,"coordinate plane, two intersecting lines creating four angles, with center point marked at intersection for 180-degree rotation",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-7AvD8U7zccjMO5ZDiby1bazpvHxobF.svg,B,Yes,No,Yes,No,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
293,142,"dot plot, bimodal distribution, two peaks at 3 and 8",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-7Cw3QoRiqIf5LOH9zsWoNmmmBE8zTn.svg,B,Yes,No,No,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
294,1083,"coordinate plane, arithmetic sequence points at (1,20), (2,15), (3,10), (4,5), (5,0)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-u6N0S0UPtr1mEFP3Z7NcxZ4cHA6XwZ.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
295,4789,"coordinate plane showing square DEFG reflected over y-axis, original at D(1,1), E(3,1), F(3,3), G(1,3) and image at D'(-1,1), E'(-3,1), F'(-3,3), G'(-1,3)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-WptyXfK1npwwP44x4fLWQ0EdIduOoE.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
296,2700,"parallel lines cut by transversal, angles labeled a, b, c, d at top intersection and e, f, g, h at bottom intersection, one angle marked 65 degrees",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-OxpmZoVy69mRBeChJMXDVbJ6ZDbUf8.svg,B,Yes,N/A,Yes,Yes,,Yes,No,No,No,Yes,Yes,No,No
297,381,"coordinate plane, triangle with vertices A(2,3), B(4,1), C(1,1), show translation 3 units right and 2 units up",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-FCAR4bWvlsur9JSQIpukQgXThdo1nj.svg,B,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,No,Yes,Yes,No
298,467,"definition card, Factor (English) / Faktè (Haitian Creole): the numbers that are multiplied together in a multiplication equation. In 4 × 6 = 24, the factors are 4 and 6. The factors tell us how many groups and how many objects are in each group. / nimewo yo k ap miltipliye ansanm nan yon ekwasyon miltiplikasyon. Nan 4 × 6 = 24, faktè yo se 4 ak 6. Faktè yo di nou konbyen gwoup ak konbyen objè ki nan chak gwoup.",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-yRUTkrUu7VRrM5ZHqYzW1pyMzJPKjj.svg,B,No,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,Yes,Yes,No
299,626,small 3D triangular pyramid,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6BFE9Smg1JzcL3Lt6AMhHabPwr4XUw.svg,B,Yes,No,N/A,No,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
301,1461,parallelogram with base 15 cm and height 8 cm,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-3vKlWVLdJ1uGc02w6ItXqmmKTEvbvB.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
303,1212,"dot cubes, 2 dots vertically aligned",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-T6m3NfUonSsiJ6FaOFguX8qT968JF4.svg,B,No,N/A,N/A,N/A,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
304,3250,"number line, 4 + (-6)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Gl3dowlXvCrJZ4AuDFK3UNhQFuqeQ3.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
308,130,rectangle 2 by 4 units next to its reflection across vertical line,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-2G0EYbMc5ZbicC2k98zH1zZMFMon6r.svg,B,No,No,No,No,,No,No,Yes,No,No,Yes,Yes,No
309,34,"rectangular pyramid net with one face labeled F, one vertex labeled V, one edge labeled E",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HCuttkHYQAtdpWAIUCR2MrD0SrsqWN.svg,B,Yes,Yes,Yes,Yes,,Yes,No,No,Yes,Yes,N/A,Yes,Yes
310,455,"coordinate plane, pentagon with vertices showing rotation of 90 degrees clockwise around origin",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-3MmzTk94tdFyD5nEchcKRIoXxBdh3A.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,No,Yes
312,30,"triangular prism net with one face labeled F, one vertex labeled V, one edge labeled E",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-iTDm1vgsqJqY2V7evLfE0H36fUIDeR.svg,B,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
314,1537,"area model, 2/7 x 2/3, show detailed fractional grid, no equation labels",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DdpzornKJCNRyLvUVZ5ZOZoPmNoAMS.svg,B,Yes,No,N/A,N/A,,Yes,Yes,N/A,N/A,Yes,Yes,N/A,No
315,1067,"base 10 blocks, 37 + 8",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-XkmAwyyI3XYYPQIMES6tBKQPTqqkNj.svg,B,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
