test_set_index,original_csv_index,prompt,url,is_shared,human_coherence,human_signaling,human_label_accuracy,human_labeling,human_comment,claude-sonnet-4-6_coherence,claude-sonnet-4-6_signaling,claude-sonnet-4-6_label_accuracy,claude-sonnet-4-6_labeling,gpt-5.4_coherence,gpt-5.4_signaling,gpt-5.4_label_accuracy,gpt-5.4_labeling
152,1421,"histogram, blank with ranges 0-2, 2-4, 4-6, 6-8, 8-10, 10-12, 12-14",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-UXzrT0SPdXHQJxRiYSKUQkvYstxoUH.svg,True,Yes,No,Yes,Yes,,Yes,N/A,Yes,No,Yes,N/A,Yes,No
154,2908,parallelogram with incorrect height line that is not perpendicular to base,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-66dxpWv8AgvKabXS2kj2tAvDQf9Nd2.svg,True,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
155,2954,right triangle B with two sides of length 4,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-GzZQhEy44ld3eXJ959SHVTMCdGbX2b.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes
156,226,number line from 0 to 1 with tick marks for fourths,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-pjrC4JDYHAgKVw6UbBxe0mSkn4EnF1.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
157,2482,"tape diagram showing 4 sandwiches shared equally by 3 people, labeled 4 ÷ 3 = 4/3",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-XyxBgXDeDMnUOCp5MsKISmfT1wCMUk.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
159,4092,"histogram, quiz scores 6, 6, 7, 7, 7, 8, 8, 8, 8, 9, 9, 9, 10, 10",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-8k34nFvrRucwirQ3NyHmXdFdNkDd1q.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
161,1523,"bar graph, Pets in Our Neighborhood. Horizontal axis: dogs, cats, fish, birds. Vertical axis: 0 to 200 by 20s. Height of bars: dogs 126, cats 94, fish 68, birds 152.",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-KTRR8xRkDw4UZIA9SIYEjfQhHsWbQL.svg,False,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,No,Yes,Yes
164,1571,"area model, 2 3/4 x 5 5/8, show unit squares with grid lines",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Eh7QSdxH2CrsIaSmgWWyPucKhYZlA2.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,No,Yes,Yes
165,4897,"rectangular prism made of unit cubes, 4 by 3 by 2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-vsccXJXAASNw3pxcJfMtr63QmyLqCZ.svg,False,Yes,Yes,No,No,The labelling is missing,Yes,No,N/A,No,Yes,N/A,N/A,N/A
167,1725,"two triangles side by side, left triangle with sides 3cm, 4cm, 5cm labeled 'Triangle ABC', right triangle with sides 6cm, 8cm, 10cm labeled 'Triangle DEF', arrows showing corresponding sides with scale factor 2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-rWcS7sqqeIGARwmiP1QswFgxObm8FC.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,No,Yes,No,Yes
169,150,"triangle RST with transversal line through points U and V, angle R = 45°, angle S = 60°",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-DegkAm78TswV2LZka9ZywwIxX2pNPQ.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
173,989,"coordinate plane, triangle with vertices at (-3,1), (-1,3), (-1,1) and its reflection across the y-axis with vertices at (3,1), (1,3), (1,1), with a dashed vertical line at x=0",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HWZSebIhOcm3XAqRNq3vdAwJqCDnxy.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
175,551,translation showing point A moving to point A prime with vector,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ozfrwcTQdPfI267xbMb9UpWR0Vtl25.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
176,1901,Two rectangular prisms attached. First prism: 2 cubes by 6 cubes by 3 cubes. Second prism: 4 cubes by 2 cubes by 3 cubes.,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-znmJ7viAlXqBWkzmVChH731Nm9ndYk.svg,False,Yes,No,No,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,No
177,620,"rectangular prism made of unit cubes, 4 cubes long, 3 cubes wide, 5 cubes tall, no text labels, clear unit cubes visible",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-RVH3wQw1TzX3cHwmjdGPOSCcqSz4gW.svg,False,Yes,Yes,No,No,,No,N/A,N/A,N/A,Yes,N/A,N/A,N/A
178,4300,"base 10 blocks, 16 + 3, show the complete process with 1 ten rod and 9 ones",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-l5XgWQNxXi9Ozjky7isSpU5xHYcsHy.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
180,3238,"grid showing rectangle 2x3 original and three copies: 4x6 scaled, 4x3 stretched, 1x1.5 scaled smaller",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-W962Brze2LZNoU1VXlHmjD0KFAP3Bm.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
183,4534,triangular pyramid net with triangular base in center and 3 triangular faces arranged around it like rectangular pyramid layout,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-xdSkvSFEV4o5xVGxGK9C0YqH8axqWV.svg,False,Yes,Yes,,,,No,No,N/A,No,No,No,N/A,N/A
184,819,"number line, 0 to 1, show thirds and sixths markings with 1/3 and 2/6 labeled at same position",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-m02UNAMJGNuhowuLaYlGrpLhF98Btv.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
185,4917,square shape,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-zGagonecroFTWrpO7qi7jqH9pAlRjN.svg,False,Yes,No,,,,Yes,N/A,N/A,No,Yes,N/A,N/A,N/A
186,4128,"parallelogram on grid, 5 by 3 units",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-aVJlj0FI4yOX8aYZ7TNqRZzyJEUOgd.svg,True,Yes,Yes,No,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,No
187,1649,"three lines meeting at one point, creating six angles around the intersection",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-oKfGBnY4c47H0H54Z1Tu9Fsm0vdrjg.svg,True,Yes,No,No,Yes,,Yes,N/A,No,No,No,No,No,No
188,4256,"box plot with whiskers, showing Q1=3, median=5, Q3=7, min=1, max=9",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-VS7LF5SxKxiU6KsfIupMY62A8uWuxx.svg,True,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
189,3926,"histogram with x-axis from 3 to 11, intervals [3-5), [5-7), [7-9), [9-11], y-axis labeled frequency up to 4, show only the first bar at [3-5) with height 2, other bars empty for students to complete",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-4MRY3sqxpsGrWo2u3Fb9ZmX9zCE4Sj.svg,False,Yes,Yes,Yes,Yes,,Yes,N/A,Yes,No,Yes,Yes,Yes,No
190,3952,"histogram, symmetric distribution, centered at 50, values from 35 to 65",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-0gyO8PKVncGiyzu0gRItQItDXykOCJ.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,No
191,909,"rectangle, 24 by 36 grid, divided into 6x6 squares",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-34m3rExNe4C4aagFEfv70YugtdaxKt.svg,True,Yes,No,No,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
192,339,"rectangular prism made of unit cubes, 4 cubes long by 2 cubes wide by 3 cubes tall, all 24 cubes visible",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-gUlsvcmvZ8PHZfYlm8ZaojEzId3wtp.svg,True,Yes,Yes,,,,Yes,N/A,N/A,No,Yes,N/A,N/A,N/A
193,3960,"cube net, 6 squares arranged in cross pattern",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-1e6EQLjFoty7mZL06nYwN4gd4iN4Q1.svg,False,Yes,Yes,No,No,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
195,3364,"grid, triangle with sides 6, 8, 10 units labeled Triangle A",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-0sIxk7xRQ1qmEyksJflTMHylun64zp.svg,False,Yes,No,Yes,Yes,,Yes,No,No,No,Yes,N/A,Yes,Yes
196,2792,"triangle ABC and triangle DEF positioned separately, with side AB labeled 7 cm and side DE labeled 7 cm",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-mfiiaaJ14YY1V8aGxJFmfdbKlS99XL.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
198,3824,"dot pattern card, 2 dots arranged vertically",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-oTXDeC8fG8zejTexpcFXmoniLrakNL.svg,True,Yes,No,,,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
201,2200,"triangular prism, rectangular prism, hexagonal prism - three different prisms shown side by side",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-cIEzbBbgjAjJGDWh9wo2Xwgw4ZtzMn.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,No,N/A,No,Yes
202,2686,"coordinate plane, line through origin and point (1,0.8), unlabeled axes",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-nbSEz07WawJjri9iVzkAeSHa3PwWtO.svg,True,Yes,No,No,No,,Yes,N/A,N/A,No,Yes,N/A,N/A,No
203,4310,"growing pattern, step 1 has 6 squares in L-shape, step 2 has 10 squares in larger L-shape, step 3 has 14 squares",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-OZOkWQ0xAULQ81VSPvStW3xiQeuEeg.svg,True,Yes,No,Yes,Yes,,No,No,No,No,No,N/A,Yes,No
204,2997,"parallel lines m and n cut by transversal t, with angle 1 marked as 110°",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Sa4YZJNdSlxOh46KS6OCxV3g4dDD41.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,No,No
207,535,"skewed left distribution dot plot, data with long tail on left side",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-NeZugISrjWl7tffTGQVecKZt2peZEL.svg,False,Yes,No,Yes,Yes,,No,No,Yes,No,Yes,No,Yes,Yes
211,2999,"coordinate grid with triangle DEF with D at (2,1), E at (4,2), F at (3,4)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Z2wyo5O4C2de2uIpLquvZ5PGt416Y1.svg,False,Yes,No,Yes,Yes,,No,Yes,Yes,No,No,N/A,Yes,No
212,146,"dot plot, symmetric distribution, data values from 1 to 9 with peak at 5",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-eUO8U4Tykx2WCspcXWTVkfbiIoqWsl.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
214,4490,"rectangular prism figure made of 2 prisms, 5 in × 2 in × 3 in left prism, 3 in × 2 in × 2 in right prism",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-LQDAKhU1ZzoRX7n464XXh6qYzvDSGd.svg,False,Yes,No,No,Yes,,Yes,No,No,No,Yes,No,No,Yes
215,1479,"coordinate plane, -4 to 4 on both axes, with quadrant labels",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-fBnDUnPT4psgZmTcCS1k5TRbrnHnKi.svg,False,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
216,3940,"histogram, slightly skewed left distribution, peak around 85, values from 65 to 95",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-EVgZo4aPdRftLmnA9wW5DnJeb57HwR.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,No,Yes,Yes
218,3198,"two roads intersecting, angles labeled 125° and 55°",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-XYWpJOHP2cTDyvE4cwnxbRh7JjoA14.svg,False,Yes,No,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
219,1487,"fraction bars, 2/4 shaded",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-Hm3tj7fHHDYMwnx640mzvDGhvuAXHu.svg,True,Yes,Yes,No,No,,Yes,Yes,N/A,No,Yes,Yes,N/A,N/A
220,4612,pentagonal prism net with 2 pentagonal faces and 5 rectangular faces,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-TaYiTXMBoAObsv6RC1RI1uhneMbec3.svg,False,Yes,Yes,Yes,Yes,,No,No,N/A,No,Yes,No,N/A,No
221,2080,"box plot, min=65, Q1=70, median=78.5, Q3=88, max=92, title Class Test Scores Set B",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-1Ebm1ubkztBcjvyxhgoUSRMky1Wl4z.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,Yes
223,1449,"table showing time and distance for walking, 1 hour 3 miles, 2 hours 6 miles, 4 hours 12 miles",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HFB6tc18yIbCe6wIaUSUXahpNW5erJ.svg,True,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
225,4354,"rectangle with right triangle cut out from corner, rectangle 8x6, triangle legs 3 and 4",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-HEQGRKayS8jB3z6LDdE5kWKyuXCBLW.svg,True,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
227,4376,"base 10 blocks, 37 + 8, show 3 tens and 7 ones plus 8 ones",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-9bPvWr7eSj3czIXZ6dnyEUwczWhp6A.svg,False,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,Yes
228,429,step by step: draw a line segment from point A to point B,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-M4NGkatKX7j1L3WCtc3gLIi2lizNzD.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
231,557,"array example, 3x4 grid of dots showing 3 rows and 4 columns",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-14ZSt85B4qBQAtu2QEvWXWBoF9BX9f.svg,False,Yes,No,No,No,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
234,3858,"corner-shaped figure made of 2 rectangular prisms meeting at right angle, no labels or numbers",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ccjb8QtsjRjXWQz1eo3y2tR06PZp4C.svg,False,Yes,No,No,No,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
235,2349,"triangular sandwich cut showing angles 45°, 45°, 90°",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-PjO5SPf3FWteZWxB7LyvG8azdtIyVu.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes
236,4212,"three separate rectangular prisms arranged together, first prism 3 × 2 × 4 unit cubes, second prism 2 × 3 × 2 unit cubes, third prism 4 × 1 × 3 unit cubes, connected but clearly distinguishable as separate prisms, show all individual unit cubes in isometric view",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-m2X80KKJU1ijAVdgFJlUhwAwiGdLmq.svg,False,Yes,Yes,No,No,,Yes,No,N/A,No,No,No,N/A,No
239,2048,"dot plot, data points at 71, 71, 72, 72, 72, 73, 73, 73, 74, 74, tightly clustered around 72-73, title Basketball Heights Set A",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-9oE8NHBM2SUg1cKgQexVTXTFOuMWFE.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,No,Yes,N/A,Yes,Yes
240,4584,square prism 3d shape,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SOXpc4QLrLVnhh5N3ZgP3DDgLeF0PU.svg,False,Yes,No,No,No,,Yes,N/A,N/A,No,Yes,N/A,N/A,N/A
242,3930,"number line from 2 to 12 with tick marks at each integer, labeled for box plot creation",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-kHIJCgQ1g7PYA3r8YleFqRPYVTxu4f.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
250,4196,"Rectangle area scaling example, original rectangle 2 by 3 units with area 6, scaled rectangle 4 by 6 units with area 24, scale factor 2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-wUEE7FJ8zqyxbwZxUMxMtFP1JzYRDU.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
251,3772,card with 4 flowers in diamond arrangement,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-U3lLJowbESHI4ieKzg6c7BPr83ZONp.svg,True,Yes,No,,,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
252,511,"cube rectangle, 2 by 3 cubes flat arrangement",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-ODFCO79y2exv3aOc5FAZBBEwPIj5Gm.svg,False,Yes,Yes,,,,Yes,No,N/A,No,No,N/A,N/A,N/A
256,614,small square pyramid net,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-qenXTUwjdvsNlw3IUoWct8ypclpSjx.svg,False,Yes,Yes,No,No,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
258,4029,"coordinate plane with triangle XYZ at X(3,1) Y(5,2) Z(1,4) and its rotated image X'(-1,3) Y'(-2,5) Z'(-4,1), -6 to 6 axes",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6pnSS98ZyOuRDaMBzojMwRS9rbASex.svg,False,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
259,4817,"coordinate plane showing y = x, simple linear function",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-tljnMxZSAZ8akOeCsqLXYJNPGVudJw.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,N/A,Yes,No
260,1952,"examples of polygons: triangle, quadrilateral, pentagon, hexagon, octagon labeled with number of sides",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-8xZUORosjptYxBTo0cOZddZQ9WayxV.svg,True,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,No,No,No,No
262,299,"rectangular prism made of unit cubes, 7 layers, 24 cubes per layer",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-RUaba2elBalmyEFliiosgTU39BFxVF.svg,False,Yes,Yes,,,,No,No,N/A,No,Yes,No,N/A,No
263,3162,"table showing MAD calculation steps for data 5, 6, 13, 18, 18 with mean 12",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-yI8Ps6ZEVcNnDquabI6KudP46Ov08H.svg,False,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
264,1563,"area model, 1 2/3 x 1/2, show unit squares and fractional parts",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-xsJVvqlI70G0GyF6slR2QltXXtx72z.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
267,4278,"fraction bars, 1/2",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-mX3DENuNsFx7I3XVFgAmCugrIR14Sj.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
268,1206,"dot cubes, 2 dots horizontally aligned",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6yq9K8eds7XOT0PUODb9SwLteehtt7.svg,False,Yes,No,Yes,Yes,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
271,1749,fraction bars showing 1 whole divided into 5 equal parts,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-WEO3OFfBYIzIZVcQfugM2fS1S3Ru9X.svg,False,Yes,No,Yes,Yes,,Yes,No,Yes,No,Yes,Yes,Yes,Yes
272,126,"parallelogram with base 8 units horizontal, height 5 units marked with perpendicular line",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-UJqMGysrT0wkl7hpolGoseMe8G1TAJ.svg,False,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
273,2124,"dot plot, values: 2,2,3,3,3,4,4,4,4,5,5,6",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-gLfW9rnXMxIU7lntTunF5Z6HMIGWOs.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
276,3055,Figure D rectangle 2 by 6 with numbered squares 1-12,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-QEITRdwMt64SoDoOivUtCudJDMon6s.svg,False,Yes,No,No,No,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
281,4759,"coordinate plane showing quadrilateral PQRS at P(1,2), Q(3,4), R(5,2), S(3,0) and quadrilateral WXYZ at W(-1,-2), X(-3,-4), Y(-5,-2), Z(-3,0)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-a4dQvJn3rpFTTQAapEVtzL2rBOFxIs.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
282,3649,two identical oranges,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-FklO5EGO8gE9XNQLrv8jjUzSpUrCiQ.svg,False,Yes,No,No,No,,Yes,N/A,N/A,N/A,Yes,N/A,N/A,N/A
283,4364,"triangle with vertices X, Y, Z and angles in ratio 2:3:4",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-4D2DE6gj8em157itRxQItjr5xeRV5c.svg,True,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
285,4741,"coordinate plane, point P(-3,5) and point P'(1,-2), show translation arrow",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-LPhgtu02q2l6Arx7NoODiGqi4ByDT6.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
286,2649,6 dots plus 4 dots showing addition,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-0Y7jm0jWMwL2h9Pr9fru9MdrdoSzIu.svg,False,Yes,No,No,No,,Yes,N/A,N/A,No,Yes,N/A,N/A,Yes
288,3274,"triangle showing base = 6 units, height = 4 units",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-J2k7QDqj3xdOJnB9CY8Kw73UeEatKg.svg,True,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
290,4947,"line segment AB on grid, no transformation shown",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-osjTiOPCNLiXaKvqviLs5nik6H1yTX.svg,False,Yes,Yes,Yes,Yes,,No,Yes,No,No,No,Yes,Yes,No
291,763,"base 10 blocks, 15",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-V7vl7TlcpG5cWdMBXk22I0XSC6Sswc.svg,False,Yes,No,No,No,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
292,4831,"sandbox, rectangular prism, 7 feet × 4 feet × 1 foot, top view and side view",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-X8rb2BV6YEdTBp8gaGWUFPJqGFSAvS.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
294,1083,"coordinate plane, arithmetic sequence points at (1,20), (2,15), (3,10), (4,5), (5,0)",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-u6N0S0UPtr1mEFP3Z7NcxZ4cHA6XwZ.svg,True,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,Yes,N/A,Yes,Yes
299,626,small 3D triangular pyramid,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-6BFE9Smg1JzcL3Lt6AMhHabPwr4XUw.svg,True,Yes,No,Yes,Yes,,Yes,No,N/A,No,Yes,N/A,N/A,N/A
300,2396,square with 4 right triangles in corners and inner square c²,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-AErDwl9kyku7DcWW4D7xeb1yd6zVlA.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
302,2866,"regular hexagon construction in circle, show all construction circles and intersection points",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-uRfmE6wAL0BTtnmnCQgthjHL3uV2Os.svg,False,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
305,3517,A coordinate plane of quadrant I with a horizontal x-axis and a vertical y-axis that intersect. Label the x-axis and the y-axis,https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_candidate-l0LdBagbiLxvXPbw75TYMfUE7AvuR7.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes
306,242,"3D rectangular prism made of unit cubes, showing two connected rectangular sections: front section is 4 units long, 3 units wide, 2 units tall, back section is 3 units long, 3 units wide, 2 units tall, with clear dimension labels",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-o28t1zkDKMtWG8e06EmhCUrZSWrjqw.svg,False,Yes,Yes,No,Yes,,No,No,No,No,No,No,No,No
307,4835,"rectangular prism, 6 feet × 2 feet × 4 feet, labeled dimensions",https://2xavun1dsa0sayar.public.blob.vercel-storage.com/visuals/vis_final-SiSO4YJRWBzEuXboy17FCMpvCG02SA.svg,False,Yes,No,Yes,Yes,,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes
